日時,温度
2021/10/1 7:00,27.5
2021/10/1 6:00,27.4
2021/10/1 5:00,27.5
2021/10/1 4:00,27.6
2021/10/1 3:00,27.7
2021/10/1 2:00,27.9
2021/10/1 1:00,27.9
2021/10/1 0:00,28
2021/9/30 23:00,28.2
2021/9/30 22:00,28.2
2021/9/30 21:00,28.2
2021/9/30 20:00,28.2
2021/9/30 19:00,28.2
2021/9/30 18:00,28.2
2021/9/30 17:00,28.2
2021/9/30 16:00,28.2
2021/9/30 15:00,28.1
2021/9/30 14:00,28.1
2021/9/30 13:00,28.1
2021/9/30 12:00,28.2
2021/9/30 11:00,28.2
2021/9/30 10:00,28.2
2021/9/30 9:00,28.2
2021/9/30 8:00,28.1
2021/9/30 7:00,30.5
